"fullvisitorid","date","units_sold","unit_price","revenue"
"2290096902742681888","2017-07-10",35,"167.65","5867.75"
"2818796658906330904","2017-07-07",35,"167.65","5867.75"
"3052828106337222847","2017-07-13",21,"279.09","5860.89"
"8891645526302964870","2017-05-16",7,"833.00","5831.00"
"0750845334721949296","2017-06-23",22,"263.78","5803.16"
"6232611702019330745","2017-07-20",25,"230.00","5750.00"
"9026840718082010040","2017-05-19",21,"272.79","5728.59"
"6157511065627835673","2017-07-18",60,"95.40","5724.00"
"5279020655315186865","2017-07-06",60,"95.40","5724.00"
"910504852442385120","2017-06-13",15,"377.85","5667.75"
"119870259714905967","2017-05-17",40,"140.00","5600.00"
"037324303090551054","2017-07-18",10,"559.90","5599.00"
"3704081881488905199","2017-05-05",20,"279.80","5596.00"
"1194645338506308474","2017-05-12",20,"279.80","5596.00"
"2790290625227220214","2017-05-10",40,"139.60","5584.00"
"1179961313313205099","2017-07-30",30,"184.50","5535.00"
"5826378537120975912","2017-07-24",15,"367.35","5510.25"
"5720584332217047483","2017-05-03",48,"114.72","5506.56"
"3704081881488905199","2017-05-05",18,"305.82","5504.76"
"4771113671766892657","2017-06-30",25,"219.75","5493.75"
"2818796658906330904","2017-07-06",25,"219.75","5493.75"
"8355761719753398617","2017-05-19",25,"219.75","5493.75"
"6432310188343340425","2017-05-30",20,"271.80","5436.00"
"4984366501121503466","2017-06-20",33,"164.67","5434.11"
"5498668051057208787","2017-07-27",30,"180.00","5400.00"
"0710632165228073636","2017-06-07",30,"179.70","5391.00"
"2404730522088263435","2017-05-07",40,"134.00","5360.00"
"7113011772090059658","2017-05-17",20,"265.80","5316.00"
"566055411938639598","2017-05-30",20,"265.80","5316.00"
"3052828106337222847","2017-07-13",21,"249.69","5243.49"
"528641742333687328","2017-07-10",36,"143.64","5171.04"
"936082996417575843","2017-05-10",13,"395.07","5135.91"
"5039450677611598907","2017-07-05",20,"255.80","5116.00"
"9446116434630123396","2017-07-18",40,"127.60","5104.00"
"8007564628670829915","2017-06-05",40,"127.60","5104.00"
"5033655160631190733","2017-06-06",40,"127.60","5104.00"
"5591592424191591132","2017-05-25",40,"127.60","5104.00"
"6851314966505508000","2017-06-03",12,"419.88","5038.56"
"4602383891226401804","2017-05-30",20,"251.80","5036.00"
"4310266508515206393","2017-06-16",30,"167.70","5031.00"
"0364393857133608210","2017-05-04",30,"167.70","5031.00"
"8915269525470512382","2017-07-19",30,"167.70","5031.00"
"804688559095985023","2017-07-20",30,"167.70","5031.00"
"3052828106337222847","2017-07-13",23,"218.27","5020.21"
"306506050494818379","2017-07-26",50,"100.00","5000.00"
"5185645869012304658","2017-06-27",50,"100.00","5000.00"
